horse_id,horse_name,father,mother,grandfather,hair_color,farm
,ファイアダンサー,パイロ,エンジェヌー,コマンズ,青鹿,
,キーダイヤ,War Command,ヴァンゴーゴー,Dutch Art,鹿,
,イルクオーレB,ロードカナロア,アルーリングハート,ダイワメジャー,鹿,
,ショウナンラスボスB,ダイワメジャー,プリンセスオブザスターズ,Sea The Stars,栗,
,オシリスブレイン,バゴ,イシス,キングヘイロー,青鹿,
,トーセンリスト,ノヴェリスト,ジョンコ,アグネスタキオン,栗,
,ジャカランダレーン,ラブリーデイ,ウリウリ,ディープインパクト,黒鹿,
,フォースオブウィル,ローエングリン,ウマクイクトオモウ,ステイゴールド,栗,
,グラスブルースB,シンボリクリスエス,グラスブロード,Fusaichi Pegasus,鹿,
,ナリノモンターニュ,ヴィクトワールピサ,オメガアイランド,エルコンドルパサー,黒鹿,
,スペロデア,エスポワールシチー,サクラフォルトゥナ,サウスヴィグラス,栗,
,サトノロイヤルB,ヘニーヒューズ,カネトシキフジン,キングカメハメハ,鹿,
,ケイアイロベージ,ヘニーヒューズ,ケイアイベローナ,クロフネ,芦,
,メンアットワーク,ドゥラメンテ,メイシャイン,シンボリクリスエス,青鹿,
,オレンジペコB,マジェスティックウォリアー,ココモオレンジ,キングカメハメハ,栗,
,トラモント,アイルハヴアナザー,フィロンルージュ,フレンチデピュティ,栗,
,セイルオンセイラー,ドレフォン,クリムゾンブーケ,クロフネ,黒鹿,
,タヒチアンダンス,キングカメハメハ,ミラクルレジェンド,フジキセキ,栗,
,マイネルクロンヌ,オルフェーヴル,ナナヨーティアラ,マイネルラヴ,鹿,
,ピュアジャッジ,ホッコータルマエ,ピュアアイズ,ネオユニヴァース,鹿,
,カフェスペランツァ,ハーツクライ,カフェヒミコ,Bandini,鹿,
,コスモセイリュウ,Temple City,Surround Sound,Include,鹿,
,コーラスケイト,オルフェーヴル,カホマックス,クロフネ,鹿,
,ガンダルフ,キングカメハメハ,アメリ,Distorted Humor,鹿,
,シセイヒテン,ノヴェリスト,シセイカグヤ,ネオユニヴァース,青,
,ハリーバローズB,Uncle Mo,Isobel Baillie,Lomitas,鹿,
,オパールシャルム,ダイワメジャー,ジルコニア,タイキシャトル,栗,
,ディヴィナシオン,ヴィクトワールピサ,フギン,ストリートセンス,黒鹿,
,メイショウケイメイ,ワークフォース,メイショウアキシノ,デュランダル,鹿,
,フレッチア,Dansili,ヴィアメディチ,Medicean,青鹿,
,ロードベイリーフ,ヴァンセンヌ,ショウナンアオバ,キングカメハメハ,黒鹿,
,ダイメイフジ,アグネスデジタル,ダイメイダーク,ダンスインザダーク,鹿,
,モントライゼ,ダイワメジャー,ムーングロウ,Nayef,鹿,
,トキメキ,アドマイヤムーン,リーベストラウム,ゼンノエルシド,栗,
,シャインガーネット,オルフェーヴル,ベルベットローブ,Gone West,栗,
,スティクス,ロードカナロア,ペンテシレイア,ネオユニヴァース,鹿,
,スノーテーラー,アドマイヤコジーン,クラウンミストラル,フジキセキ,芦,
,ビップウインク,エイシンフラッシュ,ディマクコンダ,バチアー,青,
,ジャスパージャックB,デクラレーションオブウォー,Crescent Moon,Seeking the Gold,鹿,
,アビッグチア,リオンディーズ,シベリアンクラシカ,Siphon,黒鹿,
,ポレンティア,ハーツクライ,ポーレン,Orpen,青鹿,
,サザンナイツ,トーセンラー,トレサンセール,Rip Van Winkle,黒鹿,
,ビートザウイングスB,スクリーンヒーロー,ウイングドウィール,シンボリクリスエス,栗,
,サイモンサーマル,エイシンフラッシュ,サイモンドルチェ,ジャングルポケット,鹿,
,ミステリーウェイB,ジャスタウェイ,ジプシーハイウェイ,High Chaparral,黒鹿,
,スカイテラスB,キズナ,ライステラス,ソングオブウインド,黒鹿,
,シャインユニバンス,ルーラーシップ,メテオーリカ,ディープインパクト,鹿,
,コスモスタック,ロージズインメイ,ファインビンテージ,ダンスインザダーク,黒鹿,
,マケルナマサムネB,ディープブリランテ,ナオミノユメ,ジャングルポケット,鹿,
,レットミーアウトB,ディープインパクト,マイネシャローナ,コマンダーインチーフ,黒鹿,
,ストーリーテラーB,アメリカンペイトリオット,セヴンゴシック,ステイゴールド,鹿,
,カーメルビーチB,サトノアラジン,ヴァタルサイビーチ,ゼンノロブロイ,鹿,
,スカプラリオ,ルーラーシップ,ラブフール,ゼンノロブロイ,鹿,
,レオキー,パイロ,マリントウショウ,キャプテンスティーヴ,栗,
,ニホンピロアレイ,ノヴェリスト,ニホンピロオーロラ,マンハッタンカフェ,栗,
,ミヤジトレヴ,キタサンブラック,パクスアジアーナ,ノヴェリスト,青鹿,
,メイショウフラム,マクフィ,メイショウイザヨイ,オレハマッテルゼ,鹿,
,ニホンピロラグーナ,ダイワメジャー,ニホンピロヴィータ,スニッツェル,栗,
,ラガープリンセス,ドレフォン,テンダーエモーション,Pivotal,鹿,
,ジュンウィンダム,カレンブラックヒル,ゴッドカリビアン,ベーカバド,鹿,
,タイコウフェイス,サトノアラジン,キクノアルバ,サウスヴィグラス,鹿,
,クリノリアルレディ,リアルインパクト,セイクリッドフレイム,Rahy,鹿,
,アナベルヒマワリ,ダイワメジャー,カリフォルニアネクター,Stormy Atlantic,鹿,
,ウインエクラン,スクリーンヒーロー,ライラックラブ,アグネスタキオン,栗,
,ジョウショーパワー,バンドワゴン,ジョウショーコトミ,リンカーン,黒鹿,
,セオ,スピルバーグ,ルーラ,Oasis Dream,鹿,
,ファームツエンティ,キズナ,ダノンエレガント,ブライアンズタイム,青鹿,
,スパーキングブルーB,サトノクラウン,レジェンドブルー,ステイゴールド,鹿,
,コパノサントス,イスラボニータ,ラブミーリル,ハービンジャー,青鹿,
,ザレットイットビー,ジャスタウェイ,ニシノプルメリア,シングスピール,青鹿,
,ナイツオブラウンド,エピファネイア,ウェストレー,オルフェーヴル,鹿,
,カブキチョウ,ハービンジャー,キーウエスト,ネオユニヴァース,栗,
